,ctrl_A,ctrl_A_TEX,ctrl_B,ctrl_B_TEX,inf_A,inf_A_TEX,inf_B,inf_B_TEX
ID=cds-AAG05181.1;Parent=gene-PA1792;Dbxref=NCBI_GP:AAG05181.1;Name=AAG05181.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05181.1;transl_table=11,175,171,164,164,127,138,68,105
ID=cds-AAG05182.1;Parent=gene-PA1793;Dbxref=NCBI_GP:AAG05182.1;Name=AAG05182.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=ppiB;product=peptidyl-prolyl cis-trans isomerase B;protein_id=AAG05182.1;transl_table=11,955,1535,764,1535,517,1089,360,1093.866667
ID=cds-AAG05183.1;Parent=gene-PA1794;Dbxref=NCBI_GP:AAG05183.1;Name=AAG05183.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=glnS;product=glutaminyl-tRNA synthetase;protein_id=AAG05183.1;transl_table=11,2083,4525.770833,1576.333333,4581.444444,1316,3775.333333,849,3551.944444
ID=cds-AAG05184.1;Parent=gene-PA1795;Dbxref=NCBI_GP:AAG05184.1;Name=AAG05184.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=cysS;product=cysteinyl-tRNA synthetase;protein_id=AAG05184.1;transl_table=11,674,291.4,552,306,492,259,271,227
ID=cds-AAG05185.1;Parent=gene-PA1796;Dbxref=NCBI_GP:AAG05185.1;Name=AAG05185.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=folD;product=5%2C10-methylene-tetrahydrofolate dehydrogenase / cyclohydrolase;protein_id=AAG05185.1;transl_table=11,474,1161.0625,419,1199.076923,373,1078,255,1133.083333
ID=rna-PA1796.1;Parent=gene-PA1796.1;gbkey=tRNA;product=tRNA-Arg,512,1689.5,438,1598.666667,390,1621,273.5,1409
ID=rna-PA1796.2;Parent=gene-PA1796.2;gbkey=tRNA;product=tRNA-His,428,875.6,397,931.5928571,284.9166667,829.8261905,221.5,782.4095238
ID=rna-PA1796.3;Parent=gene-PA1796.3;gbkey=tRNA;product=tRNA-Leu,639,1477.5,476,1524.25,355.5,1143,256,1149
ID=rna-PA1796.4;Parent=gene-PA1796.4;gbkey=tRNA;product=tRNA-His,200,521.6,147,524.5928571,118.9166667,507.8261905,71.5,474.4095238
ID=cds-AAG05186.1;Parent=gene-PA1797;Dbxref=NCBI_GP:AAG05186.1;Name=AAG05186.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05186.1;transl_table=11,79,101,58,89.5,55,152.625,57,157
ID=cds-AAG05187.1;Parent=gene-PA1798;Dbxref=NCBI_GP:AAG05187.1;Name=AAG05187.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=parS;product=two-component sensor%2C ParS;protein_id=AAG05187.1;transl_table=11,85,53.66666667,78,42.39591741,82,43,40,36.22222222
ID=cds-AAG05188.1;Parent=gene-PA1799;Dbxref=NCBI_GP:AAG05188.1;Name=AAG05188.1;Note=Product name confidence: Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=parR;product=two-component response regulator%2C ParR;protein_id=AAG05188.1;transl_table=11,116,397,94,388,94,415,52,404
ID=cds-AAG05189.1;Parent=gene-PA1800;Dbxref=NCBI_GP:AAG05189.1;Name=AAG05189.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=tig;product=trigger factor;protein_id=AAG05189.1;transl_table=11,10978,20301.5,8849.5,20288.25,6003,18840.91667,4019,18322
ID=cds-AAG05190.1;Parent=gene-PA1801;Dbxref=NCBI_GP:AAG05190.1;Name=AAG05190.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=clpP;product=ATP-dependent Clp protease proteolytic subunit;protein_id=AAG05190.1;transl_table=11,1791,628,1549,644,979,507,711,508
ID=cds-AAG05191.1;Parent=gene-PA1802;Dbxref=NCBI_GP:AAG05191.1;Name=AAG05191.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=clpX;product=ATP-dependent Clp protease ATP-binding subunit ClpX;protein_id=AAG05191.1;transl_table=11,4451,2776.4,3825,2680.642857,2200.2,2803.4,1444,2845.8
ID=cds-AAG05192.1;Parent=gene-PA1803;Dbxref=NCBI_GP:AAG05192.1;Name=AAG05192.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=lon;product=Lon protease;protein_id=AAG05192.1;transl_table=11,2470,19038.83333,2053,18004.52183,1588,17075.41667,1289.333333,17474.83333
ID=cds-AAG05193.1;Parent=gene-PA1804;Dbxref=NCBI_GP:AAG05193.1;Name=AAG05193.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=hupB;product=DNA-binding protein HU;protein_id=AAG05193.1;transl_table=11,8802,4192.166667,7074.333333,4360.5,4600.5,2795,3202,2125.5
ID=rna-PA1804.1;Parent=gene-PA1804.1;gbkey=tRNA;product=tRNA-Asp,693.5,8416.75,550.5,8021.816667,398,5247.333333,295.5,4059.833333
ID=cds-AAG05194.1;Parent=gene-PA1805;Dbxref=NCBI_GP:AAG05194.1;Name=AAG05194.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=ppiD;product=peptidyl-prolyl cis-trans isomerase D;protein_id=AAG05194.1;transl_table=11,1473,663.0344828,1256,737.4761905,601,450.25,361,378
ID=cds-AAG05195.1;Parent=gene-PA1806;Dbxref=NCBI_GP:AAG05195.1;Name=AAG05195.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=fabI;product=NADH-dependent enoyl-ACP reductase;protein_id=AAG05195.1;transl_table=11,58,47,35,38,22,19,31,17
ID=cds-AAG05196.1;Parent=gene-PA1807;Dbxref=NCBI_GP:AAG05196.1;Name=AAG05196.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable ATP-binding component of ABC transporter;protein_id=AAG05196.1;transl_table=11,132.0909091,69.5,85,68,85,84.19090909,52,82.09090909
ID=cds-AAG05197.1;Parent=gene-PA1808;Dbxref=NCBI_GP:AAG05197.1;Name=AAG05197.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable permease of ABC transporter;protein_id=AAG05197.1;transl_table=11,80,45,76,49,55.5,45.5,38,55.2
ID=cds-AAG05198.1;Parent=gene-PA1809;Dbxref=NCBI_GP:AAG05198.1;Name=AAG05198.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable permease of ABC transporter;protein_id=AAG05198.1;transl_table=11,99,88,87,94,61,82.66785714,49,79.2
ID=cds-AAG05199.1;Parent=gene-PA1810;Dbxref=NCBI_GP:AAG05199.1;Name=AAG05199.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable binding protein component of ABC transporter;protein_id=AAG05199.1;transl_table=11,177.5,85.96190476,166,106.477381,112,95.60168067,91,62.66666667
ID=cds-AAG05200.1;Parent=gene-PA1811;Dbxref=NCBI_GP:AAG05200.1;Name=AAG05200.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable solute-binding protein;protein_id=AAG05200.1;transl_table=11,211,386,177,410,154,589.5555556,116,579
ID=cds-AAG05201.1;Parent=gene-PA1812;Dbxref=NCBI_GP:AAG05201.1;Name=AAG05201.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=mltD;product=membrane-bound lytic murein transglycosylase D precursor;protein_id=AAG05201.1;transl_table=11,1060,847,806.3333333,775,691,897.1428571,544,955.1428571
ID=cds-AAG05202.1;Parent=gene-PA1813;Dbxref=NCBI_GP:AAG05202.1;Name=AAG05202.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable hydroxyacylglutathione hydrolase;protein_id=AAG05202.1;transl_table=11,79,103,59,114.1111111,60,126.25,50,149
ID=cds-AAG05203.1;Parent=gene-PA1814;Dbxref=NCBI_GP:AAG05203.1;Name=AAG05203.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05203.1;transl_table=11,115,1704,80,1478,126,1721,98,3453
ID=cds-AAG05204.1;Parent=gene-PA1815;Dbxref=NCBI_GP:AAG05204.1;Name=AAG05204.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=rnhA;product=ribonuclease H;protein_id=AAG05204.1;transl_table=11,134,93,123,97,103,70,53,76
ID=cds-AAG05205.1;Parent=gene-PA1816;Dbxref=NCBI_GP:AAG05205.1;Name=AAG05205.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=dnaQ;product=DNA polymerase III%2C epsilon chain;protein_id=AAG05205.1;transl_table=11,250,80,177,98,129,44,75,42
ID=cds-AAG05206.1;Parent=gene-PA1817;Dbxref=NCBI_GP:AAG05206.1;Name=AAG05206.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05206.1;transl_table=11,21,250,11,254.1428571,35,446,23,490
"ID=cds-AAG05207.1;Parent=gene-PA1818;Dbxref=NCBI_GP:AAG05207.1,PseudoCap:PA181;Name=AAG05207.1;Note=Class 2: Function of highly similar gene experimentally demonstrated in another organism (and gene context consistent in terms of pathways its involved in (if known).;gbkey=CDS;gene=ldcA;product=lysine-specific pyridoxal 5'-phosphate-dependent carboxylase%2C LdcA;protein_id=AAG05207.1;transl_table=11",155,1263,142,1346.576923,289,2220.291667,217,2500
ID=cds-AAG05208.1;Parent=gene-PA1819;Dbxref=NCBI_GP:AAG05208.1;Name=AAG05208.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable amino acid permease;protein_id=AAG05208.1;transl_table=11,90,57,55,76.11111111,112,66.5,86,77.25
ID=cds-AAG05209.1;Parent=gene-PA1820;Dbxref=NCBI_GP:AAG05209.1;Name=AAG05209.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=nhaB;product=sodium/proton antiporter NhaB;protein_id=AAG05209.1;transl_table=11,64,232.5,47,199.3428571,71,350.2,52,324
ID=cds-AAG05210.1;Parent=gene-PA1821;Dbxref=NCBI_GP:AAG05210.1;Name=AAG05210.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable enoyl-CoA hydratase/isomerase;protein_id=AAG05210.1;transl_table=11,509,705,377,669,358,593.125,291,696
ID=cds-AAG05211.1;Parent=gene-PA1822;Dbxref=NCBI_GP:AAG05211.1;Name=AAG05211.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;gene=fimL;product=hypothetical protein;protein_id=AAG05211.1;transl_table=11,339,196,254,175,210,156,147,160.5
ID=cds-AAG05212.1;Parent=gene-PA1823;Dbxref=NCBI_GP:AAG05212.1;Name=AAG05212.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05212.1;transl_table=11,126,160.1428571,107,115,81,98,51,92.5
ID=cds-AAG05213.1;Parent=gene-PA1824;Dbxref=NCBI_GP:AAG05213.1;Name=AAG05213.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05213.1;transl_table=11,80,695,56,838,63,673,32.14285714,751
ID=cds-AAG05214.1;Parent=gene-PA1825;Dbxref=NCBI_GP:AAG05214.1;Name=AAG05214.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05214.1;transl_table=11,22,48.33333333,18,45,17,86,9,91
ID=cds-AAG05215.1;Parent=gene-PA1826;Dbxref=NCBI_GP:AAG05215.1;Name=AAG05215.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05215.1;transl_table=11,3,70.5,3,51,5,82,4,83
ID=cds-AAG05216.1;Parent=gene-PA1827;Dbxref=NCBI_GP:AAG05216.1;Name=AAG05216.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable short-chain dehydrogenase;protein_id=AAG05216.1;transl_table=11,3,19.23611111,9,15,3,17.125,5,20
ID=cds-AAG05217.1;Parent=gene-PA1828;Dbxref=NCBI_GP:AAG05217.1;Name=AAG05217.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable short-chain dehydrogenase;protein_id=AAG05217.1;transl_table=11,30,37,36,51,56,43,40,37.25
ID=cds-AAG05218.1;Parent=gene-PA1829;Dbxref=NCBI_GP:AAG05218.1;Name=AAG05218.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05218.1;transl_table=11,36,18.14285714,32,24,47,35,40,22
ID=cds-AAG05219.1;Parent=gene-PA1830;Dbxref=NCBI_GP:AAG05219.1;Name=AAG05219.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05219.1;transl_table=11,125,72,116,55.39285714,128,39.22222222,101,63
ID=cds-AAG05220.1;Parent=gene-PA1831;Dbxref=NCBI_GP:AAG05220.1;Name=AAG05220.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05220.1;transl_table=11,179.2857143,239.6428571,139.7714286,261.4285714,189.1047619,494.4380952,161.2857143,565.6825397
ID=cds-AAG05221.1;Parent=gene-PA1832;Dbxref=NCBI_GP:AAG05221.1;Name=AAG05221.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable protease;protein_id=AAG05221.1;transl_table=11,192,400,143,367,167,694,160,698
ID=cds-AAG05222.1;Parent=gene-PA1833;Dbxref=NCBI_GP:AAG05222.1;Name=AAG05222.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable oxidoreductase;protein_id=AAG05222.1;transl_table=11,76,72,67,60.5,80,62,56,82
ID=cds-AAG05223.1;Parent=gene-PA1834;Dbxref=NCBI_GP:AAG05223.1;Name=AAG05223.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05223.1;transl_table=11,33,49,29,50,18,52,14,27.5
ID=cds-AAG05224.1;Parent=gene-PA1835;Dbxref=NCBI_GP:AAG05224.1;Name=AAG05224.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05224.1;transl_table=11,11,137,11,120.3333333,6,107,5,87
ID=cds-AAG05225.1;Parent=gene-PA1836;Dbxref=NCBI_GP:AAG05225.1;Name=AAG05225.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05225.1;transl_table=11,14,98,17,110,14,141,9,127
ID=cds-AAG05226.1;Parent=gene-PA1837;Dbxref=NCBI_GP:AAG05226.1;Name=AAG05226.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05226.1;transl_table=11,67,21,41,31,28,12.5,20,12
ID=cds-AAG05227.1;Parent=gene-PA1838;Dbxref=NCBI_GP:AAG05227.1;Name=AAG05227.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=cysI;product=sulfite reductase;protein_id=AAG05227.1;transl_table=11,842,2085.142857,583,1750,383,1375.2,233,1465
ID=cds-AAG05228.1;Parent=gene-PA1839;Dbxref=NCBI_GP:AAG05228.1;Name=AAG05228.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05228.1;transl_table=11,68,279.45,62,328,66,329.0555556,39,282
ID=cds-AAG05229.1;Parent=gene-PA1840;Dbxref=NCBI_GP:AAG05229.1;Name=AAG05229.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05229.1;transl_table=11,180,1129.25,152,1186,168,1328,93,1218
ID=cds-AAG05230.1;Parent=gene-PA1841;Dbxref=NCBI_GP:AAG05230.1;Name=AAG05230.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05230.1;transl_table=11,91,56.09090909,77,76.09090909,82,66.09090909,49,54.14285714
ID=cds-AAG05231.1;Parent=gene-PA1842;Dbxref=NCBI_GP:AAG05231.1;Name=AAG05231.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05231.1;transl_table=11,45,28,37,44,28,27.06666667,26,28
ID=cds-AAG05232.1;Parent=gene-PA1843;Dbxref=NCBI_GP:AAG05232.1;Name=AAG05232.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=metH;product=methionine synthase;protein_id=AAG05232.1;transl_table=11,785,906.6111111,661,892.625,551,772.25,368,752
ID=cds-AAG05233.1;Parent=gene-PA1844;Dbxref=NCBI_GP:AAG05233.1;Name=AAG05233.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05233.1;transl_table=11,10,22,10,6.25,7,15.09090909,6,21
ID=cds-AAG05234.1;Parent=gene-PA1845;Dbxref=NCBI_GP:AAG05234.1;Name=AAG05234.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05234.1;transl_table=11,25,30.2,11,8.333333333,16,30,6,22
ID=cds-AAG05235.1;Parent=gene-PA1846;Dbxref=NCBI_GP:AAG05235.1;Name=AAG05235.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=cti;product=cis/trans isomerase;protein_id=AAG05235.1;transl_table=11,423,1947,322,1960.625,255,2262.083333,189,2437
ID=cds-AAG05236.1;Parent=gene-PA1847;Dbxref=NCBI_GP:AAG05236.1;Name=AAG05236.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05236.1;transl_table=11,709,1175,528,1155,929,2751,566,2407
ID=cds-AAG05237.1;Parent=gene-PA1848;Dbxref=NCBI_GP:AAG05237.1;Name=AAG05237.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable major facilitator superfamily (MFS) transporter;protein_id=AAG05237.1;transl_table=11,2,0.5,3,2.25,2.333333333,7,3,2.010526316
ID=cds-AAG05238.1;Parent=gene-PA1849;Dbxref=NCBI_GP:AAG05238.1;Name=AAG05238.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05238.1;transl_table=11,0,1,0,1,0,3,1,0
ID=cds-AAG05239.1;Parent=gene-PA1850;Dbxref=NCBI_GP:AAG05239.1;Name=AAG05239.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05239.1;transl_table=11,16.25,124,8,153.0238095,14,191.3333333,10,191
ID=cds-AAG05240.1;Parent=gene-PA1851;Dbxref=NCBI_GP:AAG05240.1;Name=AAG05240.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05240.1;transl_table=11,2,56.83333333,3,51,9,86.3125,5,95.01052632
ID=cds-AAG05241.1;Parent=gene-PA1852;Dbxref=NCBI_GP:AAG05241.1;Name=AAG05241.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05241.1;transl_table=11,521,1733,355,1877,299,1257,236,1244
ID=cds-AAG05242.1;Parent=gene-PA1853;Dbxref=NCBI_GP:AAG05242.1;Name=AAG05242.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05242.1;transl_table=11,49,317,37,336.4333333,49,341,34,366
ID=cds-AAG05243.1;Parent=gene-PA1854;Dbxref=NCBI_GP:AAG05243.1;Name=AAG05243.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05243.1;transl_table=11,3,11,4,3,0,13,0,8
ID=cds-AAG05244.1;Parent=gene-PA1855;Dbxref=NCBI_GP:AAG05244.1;Name=AAG05244.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05244.1;transl_table=11,0,2,0,3,1,3,0,9
ID=cds-AAG05245.1;Parent=gene-PA1856;Dbxref=NCBI_GP:AAG05245.1;Name=AAG05245.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable cytochrome oxidase subunit;protein_id=AAG05245.1;transl_table=11,71.58333333,111.8333333,54.83333333,91.25,44.64285714,124.1666667,31,87.91666667
ID=cds-AAG05246.1;Parent=gene-PA1857;Dbxref=NCBI_GP:AAG05246.1;Name=AAG05246.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=conserved hypothetical protein;protein_id=AAG05246.1;transl_table=11,76,377.25,75,343.125,86,384,49,451.5
ID=cds-AAG05247.1;Parent=gene-PA1858;Dbxref=NCBI_GP:AAG05247.1;Name=AAG05247.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=str;product=streptomycin 3''-phosphotransferase;protein_id=AAG05247.1;transl_table=11,3,13,9,13,10,15.03125,5,24
ID=cds-AAG05248.1;Parent=gene-PA1859;Dbxref=NCBI_GP:AAG05248.1;Name=AAG05248.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05248.1;transl_table=11,13,49,12.5,41.16666667,20,71.25,10,102
ID=cds-AAG05249.1;Parent=gene-PA1860;Dbxref=NCBI_GP:AAG05249.1;Name=AAG05249.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05249.1;transl_table=11,3.166666667,0,2,4,6,8,2,10
ID=cds-AAG05250.1;Parent=gene-PA1861;Dbxref=NCBI_GP:AAG05250.1;Name=AAG05250.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=modC;product=molybdenum transport protein ModC;protein_id=AAG05250.1;transl_table=11,17,6,15,4,21,7,10,11.05882353
ID=cds-AAG05251.1;Parent=gene-PA1862;Dbxref=NCBI_GP:AAG05251.1;Name=AAG05251.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=modB;product=molybdenum transport protein ModB;protein_id=AAG05251.1;transl_table=11,32,27,42,20,31,31,24.33333333,14
ID=cds-AAG05252.1;Parent=gene-PA1863;Dbxref=NCBI_GP:AAG05252.1;Name=AAG05252.1;Note=Product name confidence: Class 2 (High similarity to functionally studied protein);gbkey=CDS;gene=modA;product=molybdate-binding periplasmic protein precursor ModA;protein_id=AAG05252.1;transl_table=11,42,59.33333333,33,61,32,61.7,27,102
ID=cds-AAG05253.1;Parent=gene-PA1864;Dbxref=NCBI_GP:AAG05253.1;Name=AAG05253.1;Note=Product name confidence: Class 3 (Function proposed based on presence of conserved amino acid motif%2C structural feature or limited sequence similarity to an experimentally studied gene);gbkey=CDS;product=probable transcriptional regulator;protein_id=AAG05253.1;transl_table=11,1,3,1,1.166666667,4,7,2,9.076923077
ID=cds-AAG05254.1;Parent=gene-PA1865;Dbxref=NCBI_GP:AAG05254.1;Name=AAG05254.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05254.1;transl_table=11,37,90,31.47619048,78.56666667,64,144,54,140
ID=cds-AAG05255.1;Parent=gene-PA1866;Dbxref=NCBI_GP:AAG05255.1;Name=AAG05255.1;Note=Product name confidence: Class 4 (Homologs of previously reported genes of unknown function%2C or no similarity to any previously reported sequences);gbkey=CDS;product=hypothetical protein;protein_id=AAG05255.1;transl_table=11,20.5,40.625,10,31.66666667,22.25,75.50555556,15,80.83333333
"ID=cds-AAG05256.1;Parent=gene-PA1867;Dbxref=NCBI_GP:AAG05256.1,PseudoCap:PA186;Name=AAG05256.1;Note=Class 1: Function experimentally demonstrated in P. aeruginosa;gbkey=CDS;gene=xphA;product=XphA;protein_id=AAG05256.1;transl_table=11",21,100,9,71,8,41,7,49
ID=cds-AAG05257.1;Parent=gene-PA1868;Dbxref=NCBI_GP:AAG05257.1;Name=AAG05257.1;Note=Product name confidence: Class 1 (Function experimentally demonstrated in P. aeruginosa);gbkey=CDS;gene=xqhA;product=secretion protein XqhA;protein_id=AAG05257.1;transl_table=11,10,19.64285714,8,10.64285714,4,20,2,40.27142857
