,JP_PAO1_A_cip,JP_PAO1_B_cip,JP_PAO1_C_cip,JP_1128_A_cip,JP_1128_B_cip,JP_1128_C_cip,JP_1139_A_cip,JP_1139_B_cip,JP1139_C_cip
AS_CDS:PA0616:-:hypothetical_protein:cds617:+:557:NC_002516.2,3,8,1,1,6,0,7,1,0
"IGR:(CDS,PA0616,-,hypothetical_protein,cds617,+,557/CDS,PA0617,-,bacteriophage_protein,cds618,+,326):+:101:NC_002516.2",1188,3179,939,2930,479,477,1723,878,451
"AS_IGR:(CDS,PA0616,-,hypothetical_protein,cds617,+,557/CDS,PA0617,-,bacteriophage_protein,cds618,+,326):+:101:NC_002516.2",0,4,0,0,0,0,2,1,0
CDS:PA0617:-:bacteriophage_protein:cds618:+:326:NC_002516.2,5407,14753,4261,13558,1960,2014,8306,3871,2012
AS_CDS:PA0617:-:bacteriophage_protein:cds618:+:326:NC_002516.2,4,2,0,11,0,1,3,3,3
CDS:PA0618:-:bacteriophage_protein:cds619:+:887:NC_002516.2,14216,39219,11390,33314,5517,5934,23195,10929,5490
AS_CDS:PA0618:-:bacteriophage_protein:cds619:+:887:NC_002516.2,2,0,0,16,1,0,0,8,0
CDS:PA0619:-:bacteriophage_protein:cds620:+:533:NC_002516.2,9676,25581,7326,22388,4037,4325,16036,7521,3860
AS_CDS:PA0619:-:bacteriophage_protein:cds620:+:533:NC_002516.2,10,5,4,9,4,5,18,15,0
CDS:PA0620:-:bacteriophage_protein:cds621:+:2075:NC_002516.2,34634,95081,27544,83156,14632,17522,57842,27597,14194
AS_CDS:PA0620:-:bacteriophage_protein:cds621:+:2075:NC_002516.2,32,19,1,34,3,5,24,20,5
CDS:PA0621:-:hypothetical_protein:cds622:+:458:NC_002516.2,5962,16476,4721,13840,2476,3314,9993,4843,2665
AS_CDS:PA0621:-:hypothetical_protein:cds622:+:458:NC_002516.2,2,11,3,34,8,6,40,19,14
CDS:PA0622:-:bacteriophage_protein:cds623:+:1160:NC_002516.2,43407,119636,35059,99963,18224,22430,69417,36946,19787
AS_CDS:PA0622:-:bacteriophage_protein:cds623:+:1160:NC_002516.2,2,1,0,7,4,2,1,0,7
CDS:PA0623:-:bacteriophage_protein:cds624:+:503:NC_002516.2,16798,46046,12420,38876,6823,7721,27575,14069,6751
AS_CDS:PA0623:-:bacteriophage_protein:cds624:+:503:NC_002516.2,1,0,0,2,0,1,0,1,2
CDS:PA0624:-:hypothetical_protein:cds625:+:344:NC_002516.2,20253,52529,13500,46988,7579,9062,32816,18535,8091
AS_CDS:PA0624:-:hypothetical_protein:cds625:+:344:NC_002516.2,0,0,0,0,0,0,1,0,3
"IGR:(CDS,PA0624,-,hypothetical_protein,cds625,+,344/CDS,PA0625,-,hypothetical_protein,cds626,+,2237):+:118:NC_002516.2",7597,19378,4830,17977,2962,3507,12224,7261,2918
"AS_IGR:(CDS,PA0624,-,hypothetical_protein,cds625,+,344/CDS,PA0625,-,hypothetical_protein,cds626,+,2237):+:118:NC_002516.2",0,0,0,1,0,0,0,0,0
CDS:PA0625:-:hypothetical_protein:cds626:+:2237:NC_002516.2,35197,97234,27325,91532,14630,16641,58628,30834,14585
AS_CDS:PA0625:-:hypothetical_protein:cds626:+:2237:NC_002516.2,15,15,4,29,4,17,7,18,10
CDS:PA0626:-:hypothetical_protein:cds627:+:872:NC_002516.2,17373,50867,13825,56295,7999,8689,31892,17081,7620
AS_CDS:PA0626:-:hypothetical_protein:cds627:+:872:NC_002516.2,2,7,3,7,2,0,12,16,0
CDS:PA0627:-:hypothetical_protein:cds628:+:206:NC_002516.2,3823,10461,2858,9298,1467,1760,6310,3147,1422
AS_CDS:PA0627:-:hypothetical_protein:cds628:+:206:NC_002516.2,0,2,1,1,0,0,0,0,0
"IGR:(CDS,PA0627,-,hypothetical_protein,cds628,+,206/CDS,PA0628,-,hypothetical_protein,cds629,+,989):+:6:NC_002516.2",79,221,57,190,29,35,129,61,30
"AS_IGR:(CDS,PA0627,-,hypothetical_protein,cds628,+,206/CDS,PA0628,-,hypothetical_protein,cds629,+,989):+:6:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0628:-:hypothetical_protein:cds629:+:989:NC_002516.2,9564,24007,6956,20825,3677,3890,14714,7051,3671
AS_CDS:PA0628:-:hypothetical_protein:cds629:+:989:NC_002516.2,7,4,7,6,0,0,7,7,0
CDS:PA0629:-:hypothetical_protein:cds630:+:629:NC_002516.2,4525,12717,3603,12629,1923,2147,7691,3961,1851
AS_CDS:PA0629:-:hypothetical_protein:cds630:+:629:NC_002516.2,11,18,7,18,2,8,22,12,5
CDS:PA0630:-:hypothetical_protein:cds631:+:362:NC_002516.2,3845,12128,3396,14173,1769,1995,7101,4413,1848
AS_CDS:PA0630:-:hypothetical_protein:cds631:+:362:NC_002516.2,30,49,12,60,10,6,46,23,6
CDS:PA0631:-:hypothetical_protein:cds632:+:257:NC_002516.2,3864,10829,3022,11256,1725,1906,6577,3773,1749
AS_CDS:PA0631:-:hypothetical_protein:cds632:+:257:NC_002516.2,1,11,5,10,1,0,1,2,0
"IGR:(CDS,PA0631,-,hypothetical_protein,cds632,+,257/CDS,PA0633,-,hypothetical_protein,cds633,+,494):+:264:NC_002516.2",3748,10707,2982,9663,1354,1800,5862,3005,1514
"AS_IGR:(CDS,PA0631,-,hypothetical_protein,cds632,+,257/CDS,PA0633,-,hypothetical_protein,cds633,+,494):+:264:NC_002516.2",0,3,0,8,2,1,2,0,4
CDS:PA0633:-:hypothetical_protein:cds633:+:494:NC_002516.2,14756,42028,12062,41027,6176,8066,27672,13966,7085
AS_CDS:PA0633:-:hypothetical_protein:cds633:+:494:NC_002516.2,1,1,0,3,0,0,0,6,2
CDS:PA0634:-:hypothetical_protein:cds634:+:347:NC_002516.2,15201,43976,11852,41969,6165,7375,28278,14091,6696
AS_CDS:PA0634:-:hypothetical_protein:cds634:+:347:NC_002516.2,0,0,0,0,0,0,1,0,0
CDS:PA0635:-:hypothetical_protein:cds635:+:254:NC_002516.2,25167,75839,18360,81653,10278,10832,47421,21342,9390
AS_CDS:PA0635:-:hypothetical_protein:cds635:+:254:NC_002516.2,0,4,0,0,0,0,3,0,0
CDS:PA0636:-:hypothetical_protein:cds636:+:1835:NC_002516.2,30126,82300,22553,75390,12058,13598,50004,24394,11826
AS_CDS:PA0636:-:hypothetical_protein:cds636:+:1835:NC_002516.2,4,13,5,15,2,5,22,11,0
CDS:PA0637:-:hypothetical_protein:cds637:+:341:NC_002516.2,3960,9857,2905,8943,1562,1915,6347,3119,1631
AS_CDS:PA0637:-:hypothetical_protein:cds637:+:341:NC_002516.2,3,0,0,1,0,0,0,0,0
CDS:PA0638:-:bacteriophage_protein:cds638:+:695:NC_002516.2,8786,23619,6737,24004,3891,4345,16254,8008,3630
AS_CDS:PA0638:-:bacteriophage_protein:cds638:+:695:NC_002516.2,0,1,1,3,0,0,1,2,2
CDS:PA0639:-:hypothetical_protein:cds639:+:770:NC_002516.2,8502,22456,6145,22371,3505,4324,15079,7336,3534
AS_CDS:PA0639:-:hypothetical_protein:cds639:+:770:NC_002516.2,0,12,0,8,2,4,12,5,1
"IGR:(CDS,PA0639,-,hypothetical_protein,cds639,+,770/CDS,PA0640,-,bacteriophage_protein,cds640,+,602):+:3:NC_002516.2",28,61,16,48,9,11,35,18,10
"AS_IGR:(CDS,PA0639,-,hypothetical_protein,cds639,+,770/CDS,PA0640,-,bacteriophage_protein,cds640,+,602):+:3:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0640:-:bacteriophage_protein:cds640:+:602:NC_002516.2,6546,17911,4721,16605,2494,3034,10370,5396,2454
AS_CDS:PA0640:-:bacteriophage_protein:cds640:+:602:NC_002516.2,2,9,0,2,4,3,2,4,0
"IGR:(CDS,PA0640,-,bacteriophage_protein,cds640,+,602/CDS,PA0641,-,bacteriophage_protein,cds641,+,3614):+:7:NC_002516.2",70,221,54,212,28,37,120,64,29
"AS_IGR:(CDS,PA0640,-,bacteriophage_protein,cds640,+,602/CDS,PA0641,-,bacteriophage_protein,cds641,+,3614):+:7:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0641:-:bacteriophage_protein:cds641:+:3614:NC_002516.2,38816,104848,28579,100844,16571,18374,67188,34210,16178
AS_CDS:PA0641:-:bacteriophage_protein:cds641:+:3614:NC_002516.2,41,105,38,143,13,23,99,58,20
"IGR:(CDS,PA0641,-,bacteriophage_protein,cds641,+,3614/CDS,PA0643,-,hypothetical_protein,cds642,+,1091):+:996:NC_002516.2",5070,13821,3588,12384,2065,1902,7920,3622,1874
"AS_IGR:(CDS,PA0641,-,bacteriophage_protein,cds641,+,3614/CDS,PA0643,-,hypothetical_protein,cds642,+,1091):+:996:NC_002516.2",0,12,3,4,3,0,12,4,0
CDS:PA0643:-:hypothetical_protein:cds642:+:1091:NC_002516.2,9949,26998,7659,24591,4037,4471,16101,8588,4552
AS_CDS:PA0643:-:hypothetical_protein:cds642:+:1091:NC_002516.2,9,30,14,37,13,10,32,12,6
CDS:PA0644:-:hypothetical_protein:cds643:+:335:NC_002516.2,2736,8006,2268,7207,1206,1371,5326,2985,1462
AS_CDS:PA0644:-:hypothetical_protein:cds643:+:335:NC_002516.2,9,8,9,25,11,9,8,15,4
CDS:PA0645:-:hypothetical_protein:cds644:+:230:NC_002516.2,2295,6370,1813,5798,1042,1157,4306,2547,1142
AS_CDS:PA0645:-:hypothetical_protein:cds644:+:230:NC_002516.2,6,18,7,40,3,6,48,12,2
"IGR:(CDS,PA0645,-,hypothetical_protein,cds644,+,230/CDS,PA0646,-,hypothetical_protein,cds645,+,1052):+:44:NC_002516.2",339,933,261,857,150,182,567,307,174
"AS_IGR:(CDS,PA0645,-,hypothetical_protein,cds644,+,230/CDS,PA0646,-,hypothetical_protein,cds645,+,1052):+:44:NC_002516.2",1,4,2,5,0,1,10,3,0
CDS:PA0646:-:hypothetical_protein:cds645:+:1052:NC_002516.2,6717,18962,5291,16934,2735,3142,10541,5646,2940
AS_CDS:PA0646:-:hypothetical_protein:cds645:+:1052:NC_002516.2,23,38,20,70,7,7,59,21,18
CDS:PA0647:-:hypothetical_protein:cds646:+:302:NC_002516.2,3008,8368,2502,7023,1093,1308,4613,2483,1150
AS_CDS:PA0647:-:hypothetical_protein:cds646:+:302:NC_002516.2,0,4,3,1,2,4,1,0,0
CDS:PA0648:-:hypothetical_protein:cds647:+:230:NC_002516.2,4197,11663,3567,9161,1465,1640,6877,3384,1589
AS_CDS:PA0648:-:hypothetical_protein:cds647:+:230:NC_002516.2,0,5,2,7,0,7,3,0,0
"IGR:(CDS,PA0648,-,hypothetical_protein,cds647,+,230/CDS,PA0649,trpG,anthranilate_synthase_component_II,cds648,+,605):+:367:NC_002516.2",2276,5262,1580,4542,882,860,3275,1602,836
"AS_IGR:(CDS,PA0648,-,hypothetical_protein,cds647,+,230/CDS,PA0649,trpG,anthranilate_synthase_component_II,cds648,+,605):+:367:NC_002516.2",2,5,0,4,0,2,3,0,1
CDS:PA0649:trpG:anthranilate_synthase_component_II:cds648:+:605:NC_002516.2,729,1508,437,1281,201,238,812,345,169
AS_CDS:PA0649:trpG:anthranilate_synthase_component_II:cds648:+:605:NC_002516.2,10,27,8,19,22,2,10,8,4
CDS:PA0650:trpD:anthranilate_phosphoribosyltransferase:cds649:+:1049:NC_002516.2,1053,2811,790,2522,351,397,1531,689,269
AS_CDS:PA0650:trpD:anthranilate_phosphoribosyltransferase:cds649:+:1049:NC_002516.2,5,22,5,19,3,2,30,4,6
CDS:PA0651:trpC:indole-3-glycerol_phosphate_synthase:cds650:+:836:NC_002516.2,619,1509,403,1157,150,194,724,274,128
AS_CDS:PA0651:trpC:indole-3-glycerol_phosphate_synthase:cds650:+:836:NC_002516.2,78,145,33,99,31,47,112,48,18
CDS:PA0652:vfr:cAMP-regulatory_protein:cds651:-:644:NC_002516.2,763,1688,571,1526,226,281,1180,654,290
AS_CDS:PA0652:vfr:cAMP-regulatory_protein:cds651:-:644:NC_002516.2,312,764,196,589,58,67,371,149,63
"IGR:(CDS,PA0652,vfr,cAMP-regulatory_protein,cds651,-,644/CDS,PA0653,-,hypothetical_protein,cds652,+,422):+:230:NC_002516.2",55,201,54,162,11,24,83,54,23
"AS_IGR:(CDS,PA0652,vfr,cAMP-regulatory_protein,cds651,-,644/CDS,PA0653,-,hypothetical_protein,cds652,+,422):+:230:NC_002516.2",681,1594,638,2178,209,297,1323,492,224
CDS:PA0653:-:hypothetical_protein:cds652:+:422:NC_002516.2,159,448,116,348,44,54,187,92,54
AS_CDS:PA0653:-:hypothetical_protein:cds652:+:422:NC_002516.2,18,25,19,39,1,4,24,30,5
"IGR:(CDS,PA0653,-,hypothetical_protein,cds652,+,422/CDS,PA0654,speD,S-adenosylmethionine_decarboxylase,cds653,+,794):+:268:NC_002516.2",65,170,38,102,19,22,61,38,25
"AS_IGR:(CDS,PA0653,-,hypothetical_protein,cds652,+,422/CDS,PA0654,speD,S-adenosylmethionine_decarboxylase,cds653,+,794):+:268:NC_002516.2",15,30,27,50,1,2,23,15,9
CDS:PA0654:speD:S-adenosylmethionine_decarboxylase:cds653:+:794:NC_002516.2,215,485,145,397,73,62,237,159,55
AS_CDS:PA0654:speD:S-adenosylmethionine_decarboxylase:cds653:+:794:NC_002516.2,79,137,51,179,13,27,141,74,28
CDS:PA0655:-:hypothetical_protein:cds654:-:647:NC_002516.2,400,885,343,1096,134,212,729,380,203
AS_CDS:PA0655:-:hypothetical_protein:cds654:-:647:NC_002516.2,137,483,143,430,43,66,256,149,63
"IGR:(CDS,PA0655,-,hypothetical_protein,cds654,-,647/CDS,PA0656,-,HIT_family_protein,cds655,-,338):+:48:NC_002516.2",11,31,9,26,2,5,19,11,4
"AS_IGR:(CDS,PA0655,-,hypothetical_protein,cds654,-,647/CDS,PA0656,-,HIT_family_protein,cds655,-,338):+:48:NC_002516.2",20,46,13,43,4,15,45,20,12
CDS:PA0656:-:HIT_family_protein:cds655:-:338:NC_002516.2,84,201,55,185,34,72,210,117,55
AS_CDS:PA0656:-:HIT_family_protein:cds655:-:338:NC_002516.2,70,217,55,221,24,30,106,71,31
"IGR:(CDS,PA0656,-,HIT_family_protein,cds655,-,338/CDS,PA0657,-,ATPase,cds656,+,1481):+:37:NC_002516.2",7,24,7,17,3,2,13,9,1
"AS_IGR:(CDS,PA0656,-,HIT_family_protein,cds655,-,338/CDS,PA0657,-,ATPase,cds656,+,1481):+:37:NC_002516.2",1,3,1,3,1,1,3,2,0
CDS:PA0657:-:ATPase:cds656:+:1481:NC_002516.2,523,1360,411,1397,205,245,947,502,175
AS_CDS:PA0657:-:ATPase:cds656:+:1481:NC_002516.2,59,174,47,202,28,28,119,87,23
CDS:PA0658:-:short-chain_dehydrogenase:cds657:-:800:NC_002516.2,194,560,170,705,84,73,348,248,72
AS_CDS:PA0658:-:short-chain_dehydrogenase:cds657:-:800:NC_002516.2,162,416,133,462,68,61,295,137,75
"IGR:(CDS,PA0658,-,short-chain_dehydrogenase,cds657,-,800/CDS,PA0659,-,hypothetical_protein,cds658,-,1076):+:9:NC_002516.2",1,3,2,3,1,0,2,1,1
"AS_IGR:(CDS,PA0658,-,short-chain_dehydrogenase,cds657,-,800/CDS,PA0659,-,hypothetical_protein,cds658,-,1076):+:9:NC_002516.2",3,8,3,8,1,1,5,2,1
CDS:PA0659:-:hypothetical_protein:cds658:-:1076:NC_002516.2,247,603,196,573,100,119,369,171,78
AS_CDS:PA0659:-:hypothetical_protein:cds658:-:1076:NC_002516.2,158,362,93,343,47,51,180,144,58
"IGR:(CDS,PA0659,-,hypothetical_protein,cds658,-,1076/CDS,PA0660,-,hypothetical_protein,cds659,-,968):+:70:NC_002516.2",6,33,2,15,2,4,5,10,4
"AS_IGR:(CDS,PA0659,-,hypothetical_protein,cds658,-,1076/CDS,PA0660,-,hypothetical_protein,cds659,-,968):+:70:NC_002516.2",22,34,9,35,9,11,39,18,4
CDS:PA0660:-:hypothetical_protein:cds659:-:968:NC_002516.2,240,505,153,590,89,106,399,191,61
AS_CDS:PA0660:-:hypothetical_protein:cds659:-:968:NC_002516.2,97,270,76,208,45,43,119,65,31
CDS:PA0661:-:hypothetical_protein:cds660:-:422:NC_002516.2,50,88,44,181,29,42,68,65,32
AS_CDS:PA0661:-:hypothetical_protein:cds660:-:422:NC_002516.2,18,81,15,58,9,10,44,17,11
"IGR:(CDS,PA0661,-,hypothetical_protein,cds660,-,422/CDS,PA0662,argC,N-acetyl-gamma-glutamyl-phosphate_reductase,cds661,+,1034):+:249:NC_002516.2",6,48,13,42,9,3,9,8,15
"AS_IGR:(CDS,PA0661,-,hypothetical_protein,cds660,-,422/CDS,PA0662,argC,N-acetyl-gamma-glutamyl-phosphate_reductase,cds661,+,1034):+:249:NC_002516.2",7,16,3,17,8,4,8,6,3
CDS:PA0662:argC:N-acetyl-gamma-glutamyl-phosphate_reductase:cds661:+:1034:NC_002516.2,204,612,230,785,74,118,341,220,75
AS_CDS:PA0662:argC:N-acetyl-gamma-glutamyl-phosphate_reductase:cds661:+:1034:NC_002516.2,23,32,14,78,3,10,32,18,7
CDS:PA0663:argC:hypothetical_protein:cds662:+:719:NC_002516.2,272,460,143,661,100,94,274,156,66
AS_CDS:PA0663:argC:hypothetical_protein:cds662:+:719:NC_002516.2,4,5,3,13,2,1,9,2,5
CDS:PA0664:-:hypothetical_protein:cds663:+:422:NC_002516.2,102,280,89,264,54,51,107,81,22
AS_CDS:PA0664:-:hypothetical_protein:cds663:+:422:NC_002516.2,6,20,3,34,1,9,13,18,1
"IGR:(CDS,PA0664,-,hypothetical_protein,cds663,+,422/CDS,PA0665,-,iron-sulfur_cluster_insertion_protein_ErpA,cds664,+,350):+:26:NC_002516.2",6,18,7,14,2,2,7,5,2
"AS_IGR:(CDS,PA0664,-,hypothetical_protein,cds663,+,422/CDS,PA0665,-,iron-sulfur_cluster_insertion_protein_ErpA,cds664,+,350):+:26:NC_002516.2",0,1,0,2,0,0,0,1,1
CDS:PA0665:-:iron-sulfur_cluster_insertion_protein_ErpA:cds664:+:350:NC_002516.2,113,307,98,300,32,43,164,103,47
AS_CDS:PA0665:-:iron-sulfur_cluster_insertion_protein_ErpA:cds664:+:350:NC_002516.2,1,11,5,23,1,2,5,8,7
CDS:PA0666:-:anhydro-N-acetylmuramic_acid_kinase:cds665:-:1091:NC_002516.2,257,580,198,758,102,115,347,233,112
AS_CDS:PA0666:-:anhydro-N-acetylmuramic_acid_kinase:cds665:-:1091:NC_002516.2,110,298,96,258,32,51,165,96,25
CDS:PA0667:-:hypothetical_protein:cds666:-:1343:NC_002516.2,595,1206,468,1273,245,221,788,477,233
AS_CDS:PA0667:-:hypothetical_protein:cds666:-:1343:NC_002516.2,175,474,136,449,63,90,261,103,36
"IGR:(CDS,PA0667,-,hypothetical_protein,cds666,-,1343/CDS,PA0668,tyrZ,tyrosyl-tRNA_synthetase,cds667,+,1199):+:243:NC_002516.2",216,417,173,519,67,108,377,129,31
"AS_IGR:(CDS,PA0667,-,hypothetical_protein,cds666,-,1343/CDS,PA0668,tyrZ,tyrosyl-tRNA_synthetase,cds667,+,1199):+:243:NC_002516.2",64,117,60,177,26,25,100,70,26
CDS:PA0668:tyrZ:tyrosyl-tRNA_synthetase:cds667:+:1199:NC_002516.2,354,778,355,1014,131,156,554,278,122
AS_CDS:PA0668:tyrZ:tyrosyl-tRNA_synthetase:cds667:+:1199:NC_002516.2,28,89,30,115,9,13,51,19,11
"IGR:(CDS,PA0668,tyrZ,tyrosyl-tRNA_synthetase,cds667,+,1199/rRNA,PA0668.1,ID,-,16S_ribosomal_RNA,id4,+,1535):+:508:NC_002516.2",366,1210,342,1157,159,136,557,237,100
"AS_IGR:(CDS,PA0668,tyrZ,tyrosyl-tRNA_synthetase,cds667,+,1199/rRNA,PA0668.1,ID,-,16S_ribosomal_RNA,id4,+,1535):+:508:NC_002516.2",0,3,4,1,0,2,4,0,0
"rRNA:PA0668.1,ID:-:16S_ribosomal_RNA:id4:+:1535:NC_002516.2",964,2588,818,2907,496,474,2327,788,408
"AS_rRNA:PA0668.1,ID:-:16S_ribosomal_RNA:id4:+:1535:NC_002516.2",0,1,0,1,0,0,0,0,0
"IGR:(rRNA,PA0668.1,ID,-,16S_ribosomal_RNA,id4,+,1535/tRNA,PA0668.2,ID,-,tRNA-Ile,id5,+,76):+:63:NC_002516.2",44,116,56,121,20,15,67,28,8
"AS_IGR:(rRNA,PA0668.1,ID,-,16S_ribosomal_RNA,id4,+,1535/tRNA,PA0668.2,ID,-,tRNA-Ile,id5,+,76):+:63:NC_002516.2",0,0,0,2,0,0,0,0,0
"tRNA:PA0668.2,ID:-:tRNA-Ile:id5:+:76:NC_002516.2",69,431,187,476,55,42,265,103,20
"AS_tRNA:PA0668.2,ID:-:tRNA-Ile:id5:+:76:NC_002516.2",0,0,0,1,0,0,0,0,0
"IGR:(tRNA,PA0668.2,ID,-,tRNA-Ile,id5,+,76/tRNA,PA0668.3,ID,-,tRNA-Ala,id6,+,75):+:27:NC_002516.2",28,148,60,151,18,15,86,34,9
"AS_IGR:(tRNA,PA0668.2,ID,-,tRNA-Ile,id5,+,76/tRNA,PA0668.3,ID,-,tRNA-Ala,id6,+,75):+:27:NC_002516.2",0,0,0,0,0,0,0,0,0
"tRNA:PA0668.3,ID:-:tRNA-Ala:id6:+:75:NC_002516.2",352,2828,997,2997,236,285,1328,268,197
"AS_tRNA:PA0668.3,ID:-:tRNA-Ala:id6:+:75:NC_002516.2",0,0,0,0,0,0,0,1,0
"IGR:(tRNA,PA0668.3,ID,-,tRNA-Ala,id6,+,75/rRNA,PA0668.4,ID,-,23S_ribosomal_RNA,id7,+,2890):+:225:NC_002516.2",442,1740,692,2208,165,174,1030,312,126
"AS_IGR:(tRNA,PA0668.3,ID,-,tRNA-Ala,id6,+,75/rRNA,PA0668.4,ID,-,23S_ribosomal_RNA,id7,+,2890):+:225:NC_002516.2",1,0,0,1,0,0,0,0,0
"rRNA:PA0668.4,ID:-:23S_ribosomal_RNA:id7:+:2890:NC_002516.2",2386,6808,2208,7050,1228,1189,6232,2110,1023
"AS_rRNA:PA0668.4,ID:-:23S_ribosomal_RNA:id7:+:2890:NC_002516.2",1,0,0,1,0,0,2,3,0
"IGR:(rRNA,PA0668.4,ID,-,23S_ribosomal_RNA,id7,+,2890/rRNA,PA0668.5,ID,-,5S_ribosomal_RNA,id8,+,119):+:141:NC_002516.2",233,1045,285,845,103,102,609,219,81
"AS_IGR:(rRNA,PA0668.4,ID,-,23S_ribosomal_RNA,id7,+,2890/rRNA,PA0668.5,ID,-,5S_ribosomal_RNA,id8,+,119):+:141:NC_002516.2",0,6,0,0,0,0,0,0,0
"rRNA:PA0668.5,ID:-:5S_ribosomal_RNA:id8:+:119:NC_002516.2",146,698,237,583,74,42,331,172,32
"AS_rRNA:PA0668.5,ID:-:5S_ribosomal_RNA:id8:+:119:NC_002516.2",0,2,2,2,0,0,0,0,0
"IGR:(rRNA,PA0668.5,ID,-,5S_ribosomal_RNA,id8,+,119/CDS,PA0669,-,DNA_polymerase_subunit_alpha,cds668,-,3095):+:321:NC_002516.2",165,1162,274,2036,117,76,438,247,39
"AS_IGR:(rRNA,PA0668.5,ID,-,5S_ribosomal_RNA,id8,+,119/CDS,PA0669,-,DNA_polymerase_subunit_alpha,cds668,-,3095):+:321:NC_002516.2",9,25,7,39,3,1,25,7,5
CDS:PA0669:-:DNA_polymerase_subunit_alpha:cds668:-:3095:NC_002516.2,693,1565,472,2107,330,422,1279,577,342
AS_CDS:PA0669:-:DNA_polymerase_subunit_alpha:cds668:-:3095:NC_002516.2,297,1885,467,3230,195,147,806,467,72
CDS:PA0670:-:hypothetical_protein:cds669:-:1415:NC_002516.2,778,2308,796,3072,530,559,1849,942,491
AS_CDS:PA0670:-:hypothetical_protein:cds669:-:1415:NC_002516.2,22,60,35,80,27,9,41,36,8
CDS:PA0671:-:hypothetical_protein:cds670:-:551:NC_002516.2,849,2104,725,2873,514,432,1549,969,449
AS_CDS:PA0671:-:hypothetical_protein:cds670:-:551:NC_002516.2,27,27,12,48,3,8,18,21,2
"IGR:(CDS,PA0671,-,hypothetical_protein,cds670,-,551/CDS,PA0672,hemO,heme_oxygenase,cds671,+,596):+:264:NC_002516.2",3,9,4,19,2,0,3,2,0
"AS_IGR:(CDS,PA0671,-,hypothetical_protein,cds670,-,551/CDS,PA0672,hemO,heme_oxygenase,cds671,+,596):+:264:NC_002516.2",156,299,104,427,63,73,226,134,59
CDS:PA0672:hemO:heme_oxygenase:cds671:+:596:NC_002516.2,21,33,13,71,6,0,24,9,11
AS_CDS:PA0672:hemO:heme_oxygenase:cds671:+:596:NC_002516.2,13,25,24,43,7,10,33,10,2
"IGR:(CDS,PA0672,hemO,heme_oxygenase,cds671,+,596/CDS,PA0673,-,hypothetical_protein,cds672,-,320):+:56:NC_002516.2",0,2,0,3,0,0,1,1,0
"AS_IGR:(CDS,PA0672,hemO,heme_oxygenase,cds671,+,596/CDS,PA0673,-,hypothetical_protein,cds672,-,320):+:56:NC_002516.2",5,5,3,6,1,3,3,2,0
CDS:PA0673:-:hypothetical_protein:cds672:-:320:NC_002516.2,17,32,18,36,1,11,11,8,1
AS_CDS:PA0673:-:hypothetical_protein:cds672:-:320:NC_002516.2,1,8,2,4,0,0,4,0,2
"IGR:(CDS,PA0673,-,hypothetical_protein,cds672,-,320/CDS,PA0674,vreA,VreA_protein,cds673,+,716):+:124:NC_002516.2",0,3,0,2,0,0,2,0,0
"AS_IGR:(CDS,PA0673,-,hypothetical_protein,cds672,-,320/CDS,PA0674,vreA,VreA_protein,cds673,+,716):+:124:NC_002516.2",2,4,2,5,0,1,0,0,0
CDS:PA0674:vreA:VreA_protein:cds673:+:716:NC_002516.2,10,27,4,37,1,5,22,7,0
AS_CDS:PA0674:vreA:VreA_protein:cds673:+:716:NC_002516.2,2,7,0,8,0,0,9,2,1
CDS:PA0675:vreI:ECF_sigma_factor_VreI:cds674:+:545:NC_002516.2,2,7,1,7,2,1,1,5,0
AS_CDS:PA0675:vreI:ECF_sigma_factor_VreI:cds674:+:545:NC_002516.2,10,19,6,21,5,0,7,5,6
"IGR:(CDS,PA0675,vreI,ECF_sigma_factor_VreI,cds674,+,545/CDS,PA0676,vreR,sigma_factor_regulator_VreR,cds675,+,959):+:18:NC_002516.2",0,0,0,0,0,0,0,0,0
"AS_IGR:(CDS,PA0675,vreI,ECF_sigma_factor_VreI,cds674,+,545/CDS,PA0676,vreR,sigma_factor_regulator_VreR,cds675,+,959):+:18:NC_002516.2",0,0,0,0,0,0,0,0,0
CDS:PA0676:vreR:sigma_factor_regulator_VreR:cds675:+:959:NC_002516.2,3,24,17,15,2,3,17,7,11
AS_CDS:PA0676:vreR:sigma_factor_regulator_VreR:cds675:+:959:NC_002516.2,4,18,2,13,1,5,9,11,3
CDS:PA0677:-:HxcW_pseudopilin:cds676:-:641:NC_002516.2,3,22,15,19,2,6,26,1,4
AS_CDS:PA0677:-:HxcW_pseudopilin:cds676:-:641:NC_002516.2,7,12,4,17,0,2,7,1,1
CDS:PA0678:-:HxcU_pseudopilin:cds677:-:449:NC_002516.2,2,6,1,7,0,1,8,0,0
AS_CDS:PA0678:-:HxcU_pseudopilin:cds677:-:449:NC_002516.2,0,4,1,10,0,5,3,6,0
"IGR:(CDS,PA0678,-,HxcU_pseudopilin,cds677,-,449/CDS,PA0679,-,hypothetical_protein,cds678,+,431):+:105:NC_002516.2",5,5,2,8,1,1,4,3,3
"AS_IGR:(CDS,PA0678,-,HxcU_pseudopilin,cds677,-,449/CDS,PA0679,-,hypothetical_protein,cds678,+,431):+:105:NC_002516.2",0,1,0,0,0,0,2,0,0
